,Content,Type,ID,Flavour,BrewID,12,16,24,32,Other
4336,24.0,IBU,923,Quadrupel (Quad),25,,The Velvet Fog,,,
1931,50.0,IBU,54,American Pale Ale (APA),25,,Osiris Pale Ale (2010),,,
4571,23.0,IBU,213,Scottish Ale,25,,Wee Mac Scottish-Style Ale,,,
4580,23.0,IBU,1127,Scottish Ale,25,,Bourbon Barrel Wee Mac,,,
3642,23.0,IBU,1366,Flanders Oud Bruin,25,,Stupid Sexy Flanders,,,
4549,30.0,IBU,2082,Scotch Ale / Wee Heavy,25,,Whip Fight,,,
4550,23.0,IBU,2084,Scotch Ale / Wee Heavy,25,,PV Muckle (2013),,,
3461,60.0,IBU,1049,English Barleywine,25,,Bourbon Barrel Johan,,,
3460,60.0,IBU,394,English Barleywine,25,,Johan the Barleywine,,,
3432,24.0,IBU,739,Dortmunder / Export Lager,25,,Indianapolis Indians Lager,,,
2152,40.0,IBU,2478,American Pale Ale (APA),24,Pale Alement,,,,
2115,40.0,IBU,2054,American Pale Ale (APA),24,,Pale Alement,,,
931,115.0,IBU,2471,American Double / Imperial IPA,24,Hopkick Dropkick,,,,
1403,86.0,IBU,2158,American IPA,24,,3:33 Black IPA,,,
2163,58.0,IBU,2609,American Pale Ale (APA),23,Tribute,,,,
1485,90.0,IBU,2610,American IPA,22,,The Gadget,,,
2164,37.0,IBU,2615,American Pale Ale (APA),21,,Pale,,,
2588,64.0,IBU,2617,American Pale Wheat Ale,21,,Citra Faced,,,
4265,31.0,IBU,2616,Oatmeal Stout,21,,Pole Barn Stout,,,
3215,27.0,IBU,2614,California Common / Steam Beer,21,,Yoshi's Nectar,,,
1487,46.0,IBU,2618,American IPA,20,,Thai.p.a,,,
4397,75.0,IBU,2620,Rye Beer,18,,Saucy Intruder,,,
1191,36.0,IBU,951,American IPA,17,,Alloy,,,
2750,50.0,IBU,949,American Porter,17,,3 Gear Robust Porter,,,
887,115.0,IBU,1449,American Double / Imperial IPA,17,,Overlord Imperial IPA,,,
4367,90.0,IBU,2621,Russian Imperial Stout,17,,Csar,,,
3963,22.0,IBU,950,Irish Red Ale,17,,Rivet Irish Red Ale,,,
3368,35.0,IBU,948,Czech Pilsener,17,,Circuit Bohemian Pilsner,,,
561,27.0,IBU,2284,American Blonde Ale,16,,Hinchtown Hammer Down,,,
1292,104.0,IBU,1610,American IPA,16,,Half Cycle IPA,,,
1234,42.0,IBU,1223,American IPA,15,All Day IPA,,,,
1282,65.0,IBU,1565,American IPA,15,Centennial IPA,,,,
4552,50.0,IBU,2625,Scotch Ale / Wee Heavy,15,Dirty Bastard,,,,
1488,72.0,IBU,2627,American IPA,14,Train Hopper,,,,
1489,35.0,IBU,2628,American IPA,13,Grapefruit IPA,,,,
1490,65.0,IBU,2630,American IPA,13,98 Problems (Cuz A Hop Ain't One),,,,
2166,40.0,IBU,2629,American Pale Ale (APA),13,Veteran’s Pale Ale (VPA),,,,
1491,47.0,IBU,2634,American IPA,12,Nordskye ,,,,
3651,30.0,IBU,2153,Foreign / Export Stout,12,North Third Stout,,,,
1267,51.0,IBU,1481,American IPA,12,51K IPA,,,,
1258,74.0,IBU,1402,American IPA,11,,Mind's Eye PA,,,
139,25.0,IBU,1404,American Amber / Red Ale,11,,North 45 Amber Ale,,,
2912,54.0,IBU,2639,American Stout,8,,Dark Star,,,
2804,35.0,IBU,2640,American Porter,7,,Peck's Porter,,,
4368,75.0,IBU,2644,Russian Imperial Stout,6,Yeti  Imperial Stout,,,,
1496,42.0,IBU,2658,American IPA,4,Villager,,,,
3330,30.0,IBU,2663,Cream Ale,3,,Grazias,,,
4023,28.0,IBU,2662,Kölsch,3,,Claritas,,,
4676,24.0,IBU,2666,Wheat Ale,3,,Jucundus,,,
939,100.0,IBU,2664,American Double / Imperial IPA,3,,Habitus,,,
940,100.0,IBU,2668,American Double / Imperial IPA,3,,Habitus (2014),,,
1497,85.0,IBU,2667,American IPA,3,,Solis,,,
1072,80.0,IBU,2671,American India Pale Lager,2,,Excess IPL,,,
1071,65.0,IBU,2670,American India Pale Lager,2,Hoponius Union,,,,
1070,45.0,IBU,2669,American India Pale Lager,2,Calyptra,,,,
3791,25.0,IBU,2682,German Pilsener,1,,Rules are Rules,,,
3462,80.0,IBU,2685,English Barleywine,1,,London Balling,,,
4467,38.0,IBU,2677,Saison / Farmhouse Ale,1,,Coq de la Marche,,,
2170,42.0,IBU,2683,American Pale Ale (APA),1,,A Beer,,,
1498,65.0,IBU,2675,American IPA,1,,Pile of Face,,,
4188,25.0,IBU,2684,Milk / Sweet Stout,1,,35 K,,,
941,68.0,IBU,2678,American Double / Imperial IPA,1,,Rico Sauvin,,,
942,68.0,IBU,2686,American Double / Imperial IPA,1,,Citra Ass Down,,,
4311,21.0,IBU,2681,Pumpkin Ale,1,,Flesh Gourd'n,,,
2805,25.0,IBU,2688,American Porter,0,,Stronghold,,,
1499,50.0,IBU,2692,American IPA,0,,Get Together,,,
4312,38.0,IBU,2689,Pumpkin Ale,0,,Pumpion,,,
3621,47.0,IBU,2687,Extra Special / Strong Bitter (ESB),0,,Parapet ESB,,,
4189,26.0,IBU,2691,Milk / Sweet Stout,0,,Maggie's Leap,,,
